Column1,Column2,Column3,Column4,Column5
wheel_path,auditwheel_status,auditwheel_message,pip_install_status,pip_install_message
av-13.1.0-cp311-cp311-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavfilter.so.10"" could not be located",SKIPPED,
av-13.1.0-cp39-cp39-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavfilter.so.10"" could not be located",SKIPPED,
av-14.0.1-cp310-cp310-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libswscale.so.8"" could not be located",SKIPPED,
av-13.1.0-cp312-cp312-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavcodec.so.61"" could not be located",SKIPPED,
av-13.1.0-cp310-cp310-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavfilter.so.10"" could not be located",SKIPPED,
av-13.1.0-cp313-cp313-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavfilter.so.10"" could not be located",SKIPPED,
apache_airflow-3.0.2-py3-none-any.whl,SUCCESS,,SUCCESS,
av-14.0.1-cp311-cp311-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavutil.so.59"" could not be located",SKIPPED,
av-14.0.1-cp312-cp312-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libswresample.so.5"" could not be located",SKIPPED,
av-14.4.0-cp311-cp311-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavutil.so.59"" could not be located",SKIPPED,
av-14.4.0-cp310-cp310-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavutil.so.59"" could not be located",SKIPPED,
av-14.4.0-cp312-cp312-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libswresample.so.5"" could not be located",SKIPPED,
av-14.0.1-cp313-cp313-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libswresample.so.5"" could not be located",SKIPPED,
av-14.4.0-cp313-cp313-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavfilter.so.10"" could not be located",SKIPPED,
abseil_cpp-20240116.2-py3-none-any.whl,SUCCESS,,SUCCESS,
av-14.4.0-cp39-cp39-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavformat.so.61"" could not be located",SKIPPED,
av-15.0.0-cp310-cp310-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavutil.so.59"" could not be located",SKIPPED,
av-15.0.0-cp311-cp311-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavdevice.so.61"" could not be located",SKIPPED,
av-15.0.0-cp312-cp312-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavcodec.so.61"" could not be located",SKIPPED,
av-15.0.0-cp313-cp313-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavformat.so.61"" could not be located",SKIPPED,
av-15.0.0-cp39-cp39-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavdevice.so.61"" could not be located",SKIPPED,
av-15.1.0-cp310-cp310-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libswscale.so.8"" could not be located",SKIPPED,
cryptography-43.0.1-cp37-abi3-linux_ppc64le.whl,SUCCESS,,SUCCESS,
av-15.1.0-cp311-cp311-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavdevice.so.61"" could not be located",SKIPPED,
av-15.1.0-cp312-cp312-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavformat.so.61"" could not be located",SKIPPED,
av-15.1.0-cp39-cp39-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavutil.so.59"" could not be located",SKIPPED,
av-16.0.1-cp312-cp312-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavformat.so.61"" could not be located",SKIPPED,
av-15.1.0-cp313-cp313-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavformat.so.61"" could not be located",SKIPPED,
av-16.0.1-cp313-cp313-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libavutil.so.59"" could not be located",SKIPPED,
cryptography-43.0.3-cp37-abi3-linux_ppc64le.whl,SUCCESS,,SUCCESS,
cryptography-44.0.0-cp37-abi3-linux_ppc64le.whl,SUCCESS,,SUCCESS,
cryptography-44.0.1-cp37-abi3-linux_ppc64le.whl,SUCCESS,,SUCCESS,
cryptography-44.0.2-cp37-abi3-linux_ppc64le.whl,SUCCESS,,SUCCESS,
cryptography-44.0.3-cp37-abi3-linux_ppc64le.whl,SUCCESS,,SUCCESS,
fiona-1.10.1-cp310-cp310-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libgdal.so.33"" could not be located",SKIPPED,
fiona-1.10.1-cp311-cp311-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libgdal.so.33"" could not be located",SKIPPED,
fiona-1.10.1-cp312-cp312-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libgdal.so.33"" could not be located",SKIPPED,
fiona-1.10.1-cp313-cp313-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libgdal.so.33"" could not be located",SKIPPED,
fiona-1.10.1-cp39-cp39-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libgdal.so.33"" could not be located",SKIPPED,
fiona-1.9.6-cp310-cp310-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libgdal.so.33"" could not be located",SKIPPED,
fiona-1.9.6-cp39-cp39-linux_ppc64le.whl,FAILED,"ValueError: Cannot repair wheel, because required library ""libgdal.so.33"" could not be located",SKIPPED,
flatbuffers-25.2.10-py2.py3-none-any.whl,SUCCESS,no ELF files found (no-arch wheel),SUCCESS,
dm_tree-0.1.9-cp39-cp39-linux_ppc64le.whl,SUCCESS,,SUCCESS,
frozenlist-1.3.3-cp312-cp312-linux_ppc64le.whl,SUCCESS,,SUCCESS,
frozenlist-1.3.3-cp311-cp311-linux_ppc64le.whl,SUCCESS,,SUCCESS,
frozenlist-1.3.3-cp310-cp310-linux_ppc64le.whl,SUCCESS,,SUCCESS,
frozenlist-1.3.3-cp313-cp313-linux_ppc64le.whl,SUCCESS,,SUCCESS,
furo-2024.4.27-py3-none-any.whl,SUCCESS,no ELF files found (no-arch wheel),SUCCESS,
furo-2024.8.6-py3-none-any.whl,SUCCESS,no ELF files found (no-arch wheel),SUCCESS,
future-0.18.3-py3-none-any.whl,SUCCESS,no ELF files found (no-arch wheel),SUCCESS,
frozenlist-1.3.3-cp39-cp39-linux_ppc64le.whl,SUCCESS,,SUCCESS,
geomet-1.1.0-py3-none-any.whl,SUCCESS,no ELF files found (no-arch wheel),SUCCESS,
gensim-4.3.2-cp311-cp311-linux_ppc64le.whl,SUCCESS,,SUCCESS,
ffmpeg-4.2.2-py3-none-any.whl,SUCCESS,,SUCCESS,
